XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
282954.95468431,2332191.36222338,83,86,43,92.8258990636755
282954.95468431,2332191.36222338,83,109,55,280.062705214751
282954.95468431,2332191.36222338,83,356,179,360.455427013106
282965.32398762,2332099.11730435,86,83,43,92.8258990636755
277732.89970700,2332196.91393183,88,80,44,31.9531256924656
277732.89970700,2332196.91393183,88,90,45,78.1352320854838
277732.89970700,2332196.91393183,88,92,46,31.4043161483508
277732.89970700,2332196.91393183,88,137,69,77.8993322799021
277747.50236123,2332120.15536891,90,88,45,78.1352320854838
277763.77649873,2332202.64584297,92,88,46,31.4043161483508
277763.77649873,2332202.64584297,92,93,47,74.6231291844299
277763.77649873,2332202.64584297,92,98,49,32.4704571894853
277763.77649873,2332202.64584297,92,140,70,75.4009219003821
277777.79171695,2332129.35065167,93,92,47,74.6231291844299
279526.64148514,2332206.66974499,95,65,48,117.370002688702
277795.53995063,2332209.38481273,98,92,49,32.4704571894853
277795.53995063,2332209.38481273,98,100,50,57.9134768685862
277795.53995063,2332209.38481273,98,102,51,31.0764300825511
277795.53995063,2332209.38481273,98,141,71,75.3011980161835
277807.04352563,2332152.62533277,100,98,50,57.9134768685862
277825.93788459,2332215.84314980,102,98,51,31.0764300825511
277825.93788459,2332215.84314980,102,104,52,33.9730842986185
277825.93788459,2332215.84314980,102,145,73,77.2946006446313
277825.93788459,2332215.84314980,102,154,77,161.839314044851
277833.65350433,2332182.75781062,104,102,52,33.9730842986185
279265.00318430,2332216.47124501,105,106,53,24.8288971861792
279265.00318430,2332216.47124501,105,108,54,32.7106651630974
279265.00318430,2332216.47124501,105,159,80,101.387606228152
279267.99022837,2332191.82268109,106,105,53,24.8288971861792
279297.37144807,2332221.08962640,108,105,54,32.7106651630974
279297.37144807,2332221.08962640,108,127,64,95.9041246790932
279297.37144807,2332221.08962640,108,152,76,93.7373208128842
283233.36206501,2332221.76697998,109,83,55,280.062705214751
283233.36206501,2332221.76697998,109,28,56,295.864992703422
283233.36206501,2332221.76697998,109,119,60,132.6275801157
283233.36206501,2332221.76697998,109,362,182,361.111620656972
280388.58683719,2332231.06637814,114,4,57,2636.72615999506
280388.58683719,2332231.06637814,114,182,92,178.906453104065
280388.58683719,2332231.06637814,114,200,100,1031.31739593762
279394.68462024,2332231.87457980,116,65,58,66.1527158052163
279394.68462024,2332231.87457980,116,117,59,108.552785746196
279394.68462024,2332231.87457980,116,127,65,18.3253038983503
279502.87953584,2332223.06733660,117,116,59,108.552785746196
283365.20582179,2332236.16485501,119,109,60,132.6275801157
283365.20582179,2332236.16485501,119,123,62,116.859354081746
283365.20582179,2332236.16485501,119,368,185,361.573482342118
278634.24125983,2332245.13314557,122,52,61,598.895187084049
278634.24125983,2332245.13314557,122,186,93,554.577868173778
278634.24125983,2332245.13314557,122,575,289,1090.42816957524
283481.37310972,2332248.86406174,123,119,62,116.859354081746
283481.37310972,2332248.86406174,123,32,63,296.524689807582
283481.37310972,2332248.86406174,123,131,66,193.202494152723
283481.37310972,2332248.86406174,123,380,191,361.974520250485
279388.92929705,2332249.27265492,127,108,64,95.9041246790932
279388.92929705,2332249.27265492,127,116,65,18.3253038983503
279388.92929705,2332249.27265492,127,134,67,25.3532743909916
283673.43343830,2332269.84104745,131,123,66,193.202494152723
283673.43343830,2332269.84104745,131,143,72,147.224547543245
283673.43343830,2332269.84104745,131,390,196,362.646967826307
279381.23717385,2332273.43017392,134,127,67,25.3532743909916
279381.23717385,2332273.43017392,134,135,68,131.457749744976
279381.23717385,2332273.43017392,134,148,74,40.5920234589808
279512.35357598,2332263.96291140,135,134,68,131.457749744976
277718.88798635,2332273.54276227,137,88,69,77.8993322799021
277748.47971657,2332276.47881311,140,92,70,75.4009219003821
277780.91917120,2332283.25296034,141,98,71,75.3011980161835
283819.78656029,2332285.83576795,143,131,72,147.224547543245
277811.13589323,2332291.70721469,145,102,73,77.2946006446313
279369.10350292,2332312.16628625,148,134,74,40.5920234589808
279369.10350292,2332312.16628625,148,150,75,153.970892138471
279369.10350292,2332312.16628625,148,161,82,22.8462193072794
279522.61171548,2332302.07928615,150,148,75,153.970892138471
279279.36854211,2332313.07532495,152,108,76,93.7373208128842
279279.36854211,2332313.07532495,152,161,81,85.6829779513258
279279.36854211,2332313.07532495,152,204,103,71.3590821536074
277944.90985525,2332313.70047371,154,102,77,161.839314044851
277944.90985525,2332313.70047371,154,52,78,245.467956314805
277944.90985525,2332313.70047371,154,221,111,143.328927392591
280185.59418400,2332316.59188575,158,56,79,645.161592380371
280185.59418400,2332316.59188575,158,182,91,95.5032372283425
280185.59418400,2332316.59188575,158,263,133,135.533703998658
279250.41719779,2332316.79519957,159,105,80,101.387606228152
279362.26352264,2332333.96455238,161,152,81,85.6829779513258
279362.26352264,2332333.96455238,161,148,82,22.8462193072794
279362.26352264,2332333.96455238,161,193,97,120.883149715634
279362.26352264,2332333.96455238,161,216,109,70.7142963143388
279803.60015526,2332337.35410404,165,166,83,93.4538166070122
279803.60015526,2332337.35410404,165,208,105,55.4117497427532
279803.60015526,2332337.35410404,165,263,132,419.664931386563
279712.75569629,2332322.82595416,166,165,83,93.4538166070122
277584.24667428,2332340.18623666,168,70,84,168.45847492212
277584.24667428,2332340.18623666,168,170,85,24.7746783573707
277584.24667428,2332340.18623666,168,244,122,87.538809180993
277608.55170834,2332344.98727899,170,168,85,24.7746783573707
277608.55170834,2332344.98727899,170,72,86,168.14894529594
277608.55170834,2332344.98727899,170,174,87,32.8942518607641
277608.55170834,2332344.98727899,170,246,124,87.2322051560024
277640.81962337,2332351.37582067,174,170,87,32.8942518607641
277640.81962337,2332351.37582067,174,76,88,168.496568149209
277640.81962337,2332351.37582067,174,178,89,33.7975385269733
277640.81962337,2332351.37582067,174,252,127,86.6057036406367
277673.97342753,2332357.94079439,178,174,89,33.7975385269733
277673.97342753,2332357.94079439,178,80,90,169.20519222298
277673.97342753,2332357.94079439,178,190,95,32.7777748534792
277673.97342753,2332357.94079439,178,256,129,86.0667929782251
280268.43941767,2332363.60094116,182,158,91,95.5032372283425
280268.43941767,2332363.60094116,182,114,92,178.906453104065
280268.43941767,2332363.60094116,182,288,145,104.894573727589
279175.94521963,2332363.92769263,186,122,93,554.577868173778
279175.94521963,2332363.92769263,186,50,94,285.454461373356
279175.94521963,2332363.92769263,186,204,102,94.5352659024011
279175.94521963,2332363.92769263,186,300,150,118.719004114275
277706.12666074,2332364.30884895,190,178,95,32.7777748534792
277706.12666074,2332364.30884895,190,191,96,80.2749015391102
277706.12666074,2332364.30884895,190,196,98,33.1372412252642
277706.12666074,2332364.30884895,190,270,136,85.9981966685747
277722.39844404,2332285.70039593,191,190,96,80.2749015391102
279474.39275025,2332365.36225913,193,161,97,120.883149715634
277738.63411140,2332370.73865513,196,190,98,33.1372412252642
277738.63411140,2332370.73865513,196,198,99,78.4917607771229
277738.63411140,2332370.73865513,196,228,114,105.973280492355
277738.63411140,2332370.73865513,196,270,146,116.878278594248
277753.16912842,2332293.60442285,198,196,99,78.4917607771229
281368.69400949,2332372.23642958,200,114,100,1031.31739593762
281368.69400949,2332372.23642958,200,202,101,69.8444612777784
281368.69400949,2332372.23642958,200,384,192,241.094294341312
281438.08788461,2332380.15721663,202,200,101,69.8444612777784
